,index,natRhythmTap (in ms.)
3,15,181.041015625
9,45,543.4892578125
15,75,908.30712890625
21,105,1276.5947265625
28,140,1698.17529296875
34,170,2056.8623046875
41,205,2491.826171875
46,230,2799.621337890625
48,240,2919.874267578125
53,265,3232.423828125
59,295,3598.449462890625
65,325,3967.412109375
70,350,4267.236083984375
73,365,4450.282470703125
75,375,4574.9228515625
82,410,5008.413330078125
87,435,5314.589111328125
92,460,5624.8583984375
95,475,5810.897705078125
97,485,5935.587646484375
103,515,6304.4267578125
108,540,6610.15673828125
114,570,6984.595703125
118,590,7227.113525390625
124,620,7597.5205078125
126,630,7722.825927734375
128,640,7847.989990234375
131,655,8036.080078125
134,670,8222.627197265625
139,695,8530.927978515625
144,720,8842.695068359375
149,745,9150.378173828125
154,770,9462.50048828125
159,795,9771.598388671875
163,815,10021.516357421875
169,845,10395.507080078125
174,870,10701.44189453125
179,895,11009.7080078125
183,915,11258.691162109375
188,940,11570.92431640625
194,970,11943.0458984375
198,990,12191.454345703125
203,1015,12499.683837890625
206,1030,12686.881591796875
208,1040,12812.984619140625
213,1065,13124.591796875
217,1085,13373.7734375
223,1115,13740.6474609375
228,1140,14047.811279296875
233,1165,14357.130859375
237,1185,14605.177978515625
243,1215,14978.562255859375
247,1235,15223.7431640625
252,1260,15532.1845703125
257,1285,15838.50390625
262,1310,16147.016357421875
267,1335,16458.512451171875
271,1355,16698.960693359375
276,1380,17006.81640625
281,1405,17318.189697265625
286,1430,17623.374755859375
290,1450,17872.978759765625
295,1475,18181.607421875
299,1495,18428.866455078125
303,1515,18676.10546875
308,1540,18976.279052734375
312,1560,19220.165771484375
317,1585,19525.681884765625
322,1610,19834.668701171875
327,1635,20145.913818359375
331,1655,20394.28515625
336,1680,20697.2783203125
340,1700,20946.287841796875
345,1725,21252.13720703125
350,1750,21558.046630859375
355,1775,21866.8505859375
360,1800,22174.05322265625
365,1825,22481.28271484375
369,1845,22727.813720703125
374,1870,23037.354248046875
378,1890,23285.53515625
384,1920,23653.565673828125
388,1940,23902.30322265625
392,1960,24147.24658203125
398,1990,24513.870361328125
403,2015,24818.56884765625
407,2035,25066.639404296875
412,2060,25372.52392578125
416,2080,25619.160888671875
421,2105,25930.694580078125
426,2130,26238.233154296875
431,2155,26547.73876953125
435,2175,26792.692138671875
440,2200,27105.233642578125
444,2220,27354.4580078125
449,2245,27662.011474609375
453,2265,27906.095458984375
457,2285,28154.67919921875
461,2305,28402.49658203125
465,2325,28644.75634765625
470,2350,28945.444580078125
474,2370,29196.474365234375
479,2395,29503.669189453125
483,2415,29750.334228515625
489,2445,30120.140380859375
497,2485,30608.49267578125
503,2515,30981.05126953125
509,2545,31357.662841796875
514,2570,31664.181884765625
518,2590,31907.836181640625
522,2610,32154.32958984375
526,2630,32402.122802734375
530,2650,32644.091064453125
534,2670,32892.816650390625
538,2690,33142.662109375
543,2715,33448.9912109375
547,2735,33694.190673828125
551,2755,33939.319091796875
556,2780,34247.845458984375
560,2800,34497.117919921875
564,2820,34743.908447265625
568,2840,34993.652587890625
572,2860,35239.845947265625
577,2885,35551.311279296875
581,2905,35798.959228515625
585,2925,36046.7978515625
590,2950,36354.640869140625
594,2970,36603.97119140625
597,2985,36788.79052734375
602,3010,37100.267578125
606,3030,37348.959228515625
610,3050,37593.230712890625
615,3075,37894.387939453125
620,3100,38202.96533203125
624,3120,38445.831787109375
629,3145,38753.429931640625
634,3170,39066.043701171875
639,3195,39378.828125
644,3220,39685.3505859375
648,3240,39932.5087890625
653,3265,40240.975830078125
657,3285,40490.59033203125
662,3310,40798.414794921875
667,3335,41107.355224609375
671,3355,41356.128173828125
675,3375,41605.80126953125
679,3395,41851.831787109375
683,3415,42102.15234375
688,3440,42414.453369140625
692,3460,42662.441162109375
697,3485,42972.04150390625
701,3505,43216.398193359375
705,3525,43458.934326171875
709,3545,43705.7529296875
713,3565,43952.044189453125
718,3590,44261.429443359375
723,3615,44571.144287109375
727,3635,44818.29638671875
731,3655,45068.08154296875
736,3680,45375.5830078125
739,3695,45561.182861328125
744,3720,45866.734130859375
748,3740,46116.165771484375
752,3760,46362.41650390625
755,3775,46549.7724609375
761,3805,46920.536376953125
768,3840,47353.6787109375
774,3870,47717.42626953125
777,3885,47903.24853515625
781,3905,48153.263671875
783,3915,48278.80859375
788,3940,48584.168701171875
793,3965,48888.4833984375
800,4000,49316.088134765625
803,4015,49502.637939453125
808,4040,49811.247802734375
811,4055,49994.9921875
814,4070,50181.497802734375
816,4080,50305.85400390625
822,4110,50679.343505859375
825,4125,50859.888916015625
828,4140,51047.03076171875
833,4165,51352.840087890625
838,4190,51663.301025390625
843,4215,51968.920654296875
847,4235,52215.658447265625
854,4270,52637.78125
859,4295,52946.946044921875
864,4320,53259.28955078125
869,4345,53564.2158203125
875,4375,53930.429931640625
880,4400,54242.88525390625
884,4420,54492.2880859375
889,4445,54803.924072265625
895,4475,55176.8564453125
898,4490,55361.2607421875
900,4500,55486.0322265625
905,4525,55792.4951171875
911,4555,56165.83154296875
915,4575,56411.6416015625
921,4605,56785.28515625
926,4630,57094.40478515625
931,4655,57405.672119140625
933,4665,57529.206787109375
936,4680,57712.212890625
